Date	,	.com	,	.tk	,	.net	,	.de	,	.uk	,	.org	,	.cn	,	.ru	,	.info	,	.top
11/1/2018	,	1265820	,	0	,	76439	,	1756	,	57294	,	59771	,	122	,	43182	,	44665	,	49730
10/1/2018	,	3076658	,	0	,	219442	,	0	,	150920	,	157733	,	2704	,	103424	,	136639	,	190112
9/1/2018	,	2882992	,	0	,	188100	,	0	,	107908	,	147216	,	1087	,	93101	,	99884	,	264030
8/1/2018	,	3034619	,	163764	,	284625	,	62371	,	173971	,	172032	,	27770	,	127065	,	119443	,	505431
7/1/2018	,	2982170	,	23841	,	277180	,	9504	,	133672	,	151080	,	63006	,	102072	,	99660	,	383938
6/1/2018	,	2893249	,	55717	,	265119	,	28317	,	183682	,	178585	,	57482	,	83679	,	103552	,	297558
5/1/2018	,	3098216	,	118783	,	216887	,	52243	,	181654	,	191585	,	66538	,	131977	,	108386	,	350052
4/1/2018	,	3072328	,	200046	,	223432	,	89038	,	141866	,	163986	,	88956	,	107314	,	98241	,	214506
3/1/2018	,	3694150	,	263720	,	220709	,	124503	,	127284	,	176075	,	185757	,	124332	,	115316	,	131995
2/1/2018	,	3969918	,	597967	,	841698	,	148289	,	131704	,	92810	,	86903	,	116515	,	225318	,	1152790
1/1/2018	,	1057645	,	1293102	,	37485	,	341844	,	185160	,	24851	,	149917	,	128146	,	26041	,	50909
12/1/2017	,	2500036	,	18627406	,	257578	,	12083881	,	184935	,	79637	,	269379	,	126357	,	170049	,	79992
11/1/2017	,	2557098	,	184	,	218585	,	0	,	128265	,	133827	,	336909	,	144625	,	200241	,	109335
10/1/2017	,	2500014	,	196	,	204811	,	0	,	348439	,	155362	,	194979	,	135411	,	247111	,	77482
9/1/2017	,	1519900	,	259	,	126553	,	0	,	263425	,	98295	,	231665	,	114263	,	42684	,	14296
8/1/2017	,	1577263	,	327	,	129119	,	0	,	125900	,	103931	,	249264	,	115632	,	43838	,	14426
7/1/2017	,	1548898	,	165	,	122550	,	0	,	101028	,	96309	,	490779	,	109892	,	39570	,	14612
6/1/2017	,	1565917	,	99	,	127658	,	0	,	108074	,	98307	,	467493	,	157729	,	59004	,	7771
5/1/2017	,	1648909	,	135	,	153016	,	0	,	112132	,	101077	,	442532	,	149828	,	63215	,	10278
4/1/2017	,	1540204	,	233	,	124200	,	0	,	97029	,	96997	,	438579	,	159910	,	87397	,	13456
3/1/2017	,	1827800	,	268	,	144009	,	0	,	116556	,	112838	,	624775	,	172726	,	75039	,	11058
2/1/2017	,	1622312	,	258	,	126717	,	0	,	106105	,	103831	,	309873	,	158351	,	49448	,	11289
1/1/2017	,	1870183	,	199	,	156179	,	0	,	109931	,	118014	,	209150	,	155645	,	81362	,	17374
12/1/2016	,	2137540	,	95	,	222692	,	0	,	74724	,	158515	,	236956	,	151748	,	92362	,	99519
11/1/2016	,	2012219	,	117	,	174710	,	0	,	129504	,	171130	,	171565	,	86507	,	89786	,	642656
10/1/2016	,	1588885	,	91	,	301181	,	1	,	122856	,	137329	,	41139	,	57936	,	77941	,	237104
9/1/2016	,	1036073	,	91	,	98019	,	0	,	84610	,	73954	,	35903	,	53497	,	31889	,	6676
8/1/2016	,	1048500	,	116	,	90833	,	0	,	69164	,	73615	,	38762	,	53354	,	29000	,	4154
7/1/2016	,	991173	,	123	,	86377	,	0	,	66127	,	68497	,	31403	,	48558	,	25892	,	3705
6/1/2016	,	1010100	,	81	,	90242	,	0	,	74183	,	73998	,	33322	,	52213	,	30678	,	3208
5/1/2016	,	1085723	,	134	,	100688	,	0	,	73442	,	79198	,	35208	,	53286	,	33172	,	4956
4/1/2016	,	1087353	,	150	,	100229	,	0	,	78080	,	80515	,	35277	,	60990	,	32367	,	4389
3/1/2016	,	1201849	,	208	,	113708	,	0	,	78083	,	87545	,	38733	,	66210	,	35365	,	5709
2/1/2016	,	1095742	,	114	,	107238	,	0	,	83806	,	87573	,	39674	,	58471	,	36860	,	4016
1/1/2016	,	1218143	,	98	,	113934	,	0	,	93160	,	86411	,	59324	,	52026	,	37221	,	5006
12/1/2015	,	1212190	,	58	,	117123	,	0	,	74779	,	91568	,	49453	,	53763	,	39926	,	4542
11/1/2015	,	1516514	,	67	,	178348	,	0	,	114217	,	153339	,	103558	,	44294	,	55745	,	8314
10/1/2015	,	1208631	,	62	,	196140	,	0	,	116696	,	102325	,	34331	,	41800	,	41631	,	3309
9/1/2015	,	1004446	,	74	,	86756	,	0	,	87426	,	65007	,	235721	,	38390	,	25954	,	5966
8/1/2015	,	834177	,	40	,	80664	,	0	,	66524	,	64365	,	42723	,	36965	,	25195	,	2315
7/1/2015	,	828336	,	47	,	105869	,	0	,	74727	,	64982	,	44919	,	38691	,	24278	,	2882
6/1/2015	,	819314	,	74	,	89553	,	0	,	73050	,	64371	,	51464	,	36253	,	26419	,	4474
5/1/2015	,	821242	,	64	,	94896	,	0	,	65109	,	68607	,	68586	,	36520	,	28652	,	5296
4/1/2015	,	836996	,	78	,	87325	,	0	,	64152	,	68225	,	52997	,	44200	,	28060	,	1809
3/1/2015	,	944174	,	84	,	94885	,	0	,	74893	,	74004	,	44164	,	44132	,	29365	,	2887
2/1/2015	,	801930	,	96	,	82812	,	0	,	74728	,	66341	,	24623	,	38493	,	25407	,	1482
1/1/2015	,	902663	,	81	,	96647	,	0	,	77036	,	71653	,	92928	,	36139	,	28448	,	3043
12/1/2014	,	881670	,	58	,	93324	,	0	,	54278	,	68651	,	158712	,	36308	,	29360	,	9439
11/1/2014	,	839865	,	74	,	88137	,	0	,	79436	,	75418	,	46276	,	31711	,	31000	,	6700
10/1/2014	,	822314	,	54	,	94527	,	0	,	83568	,	72605	,	34193	,	32385	,	27630	,	0
9/1/2014	,	670282	,	103	,	70340	,	0	,	58694	,	53573	,	39033	,	29239	,	20795	,	0
8/1/2014	,	636069	,	44	,	65109	,	0	,	57029	,	50912	,	46298	,	26080	,	18997	,	0
7/1/2014	,	667536	,	56	,	66663	,	0	,	66266	,	51130	,	50011	,	28110	,	20132	,	0
6/1/2014	,	640327	,	75	,	68288	,	0	,	115070	,	50497	,	39242	,	26773	,	20214	,	0
5/1/2014	,	677559	,	86	,	84580	,	0	,	51486	,	58664	,	51549	,	27836	,	27809	,	1
4/1/2014	,	699873	,	103	,	81540	,	0	,	51945	,	57955	,	51081	,	32435	,	52111	,	0
3/1/2014	,	732482	,	172	,	83494	,	0	,	58916	,	62143	,	63626	,	33078	,	27582	,	0
2/1/2014	,	671749	,	106	,	76537	,	0	,	58931	,	58508	,	27690	,	32685	,	26471	,	0
1/1/2014	,	717999	,	98	,	84022	,	0	,	63455	,	62092	,	34086	,	30235	,	28552	,	0
12/1/2013	,	680810	,	96	,	76897	,	0	,	41535	,	56346	,	57276	,	30519	,	24480	,	0
11/1/2013	,	694811	,	108	,	77515	,	0	,	68157	,	60384	,	36619	,	28802	,	25432	,	0
10/1/2013	,	680148	,	94	,	83222	,	0	,	74710	,	63488	,	30609	,	29039	,	25988	,	0
9/1/2013	,	558469	,	98	,	61031	,	0	,	60800	,	45382	,	29949	,	25128	,	18610	,	0
8/1/2013	,	577338	,	116	,	60062	,	0	,	50758	,	46288	,	35641	,	24276	,	19819	,	0
7/1/2013	,	559417	,	102	,	59653	,	0	,	55626	,	47600	,	49906	,	25955	,	19164	,	0
6/1/2013	,	534245	,	110	,	60142	,	0	,	54131	,	49234	,	32856	,	22740	,	18764	,	0
5/1/2013	,	586865	,	92	,	68820	,	0	,	58085	,	52480	,	26812	,	23703	,	20309	,	0
4/1/2013	,	594535	,	120	,	67617	,	0	,	57629	,	51879	,	23504	,	29212	,	21110	,	0
3/1/2013	,	635789	,	216	,	72857	,	0	,	62804	,	55387	,	26192	,	30044	,	22658	,	0
2/1/2013	,	580466	,	64	,	65826	,	0	,	61588	,	52177	,	15352	,	29056	,	43327	,	0
1/1/2013	,	643306	,	126	,	73353	,	0	,	62484	,	55921	,	22670	,	26372	,	23368	,	0
12/1/2012	,	550633	,	68	,	65750	,	0	,	40837	,	48892	,	291911	,	27253	,	21414	,	0
11/1/2012	,	579671	,	104	,	66114	,	0	,	60341	,	53857	,	22186	,	25787	,	23035	,	0
10/1/2012	,	558464	,	123	,	69726	,	0	,	58764	,	54289	,	20786	,	25224	,	23673	,	0
9/1/2012	,	468787	,	76	,	54151	,	0	,	45272	,	39941	,	966705	,	22087	,	17485	,	0
8/1/2012	,	467604	,	61	,	53539	,	0	,	42757	,	42272	,	27932	,	22171	,	16882	,	0
7/1/2012	,	471230	,	60	,	52014	,	0	,	46146	,	41039	,	21604	,	21376	,	16625	,	0
6/1/2012	,	478019	,	64	,	52471	,	0	,	46569	,	41626	,	39770	,	20983	,	17844	,	0
5/1/2012	,	533399	,	71	,	57068	,	0	,	49118	,	44392	,	43095	,	22869	,	18506	,	0
4/1/2012	,	518564	,	133	,	56454	,	0	,	46232	,	43709	,	50716	,	24904	,	15332	,	0
3/1/2012	,	568588	,	403	,	64938	,	0	,	50822	,	49097	,	17204	,	27082	,	18760	,	0
2/1/2012	,	552385	,	89	,	64003	,	0	,	51729	,	48424	,	14292	,	26500	,	19220	,	0
1/1/2012	,	559727	,	86	,	67041	,	0	,	52300	,	76714	,	8436	,	24524	,	47073	,	0
12/1/2011	,	493552	,	77	,	61187	,	0	,	34595	,	48172	,	16669	,	21208	,	21435	,	0
11/1/2011	,	506625	,	87	,	62542	,	0	,	57876	,	47625	,	17082	,	22680	,	19265	,	0
10/1/2011	,	488899	,	71	,	61704	,	0	,	57348	,	48581	,	13594	,	20811	,	18416	,	0
9/1/2011	,	432153	,	72	,	51576	,	0	,	52476	,	39933	,	13793	,	19973	,	25164	,	0
8/1/2011	,	424489	,	56	,	51196	,	0	,	45227	,	38540	,	12166	,	19472	,	15073	,	0
7/1/2011	,	413911	,	103	,	49257	,	0	,	44365	,	36760	,	11854	,	18028	,	14570	,	0
6/1/2011	,	431049	,	74	,	52372	,	0	,	44743	,	38612	,	11338	,	18903	,	16403	,	0
5/1/2011	,	445781	,	99	,	53729	,	0	,	43786	,	40632	,	12792	,	21180	,	15116	,	0
4/1/2011	,	442242	,	62	,	53721	,	0	,	38301	,	40598	,	11277	,	22210	,	14716	,	0
3/1/2011	,	500974	,	93	,	62112	,	0	,	51539	,	46547	,	12276	,	24030	,	18113	,	0
2/1/2011	,	449328	,	96	,	55395	,	0	,	48740	,	42785	,	7979	,	20592	,	16890	,	0
1/1/2011	,	479658	,	94	,	59633	,	0	,	48546	,	44949	,	9783	,	18351	,	17184	,	0
12/1/2010	,	418887	,	93	,	54843	,	0	,	33660	,	71017	,	11787	,	20784	,	46405	,	0
11/1/2010	,	439585	,	78	,	55309	,	0	,	48479	,	43545	,	10477	,	20396	,	17506	,	0
10/1/2010	,	427557	,	74	,	56223	,	0	,	44809	,	42225	,	8456	,	18773	,	16121	,	0
9/1/2010	,	375380	,	76	,	48778	,	0	,	36660	,	36192	,	8390	,	19126	,	14136	,	0
8/1/2010	,	368227	,	94	,	46686	,	0	,	34646	,	35062	,	8865	,	18268	,	13691	,	0
7/1/2010	,	359203	,	60	,	46182	,	0	,	36470	,	34655	,	8922	,	18025	,	13822	,	0
6/1/2010	,	372334	,	40	,	48079	,	0	,	35098	,	34920	,	9428	,	19106	,	13785	,	0
5/1/2010	,	385485	,	100	,	49417	,	0	,	34819	,	36269	,	10306	,	18295	,	19060	,	0
4/1/2010	,	404348	,	76	,	52032	,	0	,	35597	,	38807	,	8638	,	21418	,	15561	,	0
3/1/2010	,	448955	,	100	,	58013	,	0	,	42949	,	42063	,	6964	,	23254	,	16374	,	0
2/1/2010	,	391808	,	114	,	51394	,	0	,	39172	,	36615	,	3603	,	19469	,	13916	,	0
1/1/2010	,	419421	,	98	,	54311	,	0	,	38993	,	37986	,	3835	,	18541	,	15128	,	0

